e_t,e,e_d,s_t,s,s_d
347,2643,-1,347,2643,-1.85675
348,2642,-1,348,2642,-1.85605
349,2641,-1,349,2641,-1.85535
350,2640,-1,350,2639.36,-1.85465
351,2639,-1,351,2637.51235,-1.85395
352,2638,-1,352,2635.6654,-1.85325
353,2637,-1,353,2633.81915,-1.85255
354,2636,-1,354,2631.9736,-1.85185
355,2635,-1,355,2630.12875,-1.85115
356,2634,-1,356,2628.2846,-1.85045
357,2633,-1,357,2626.44115,-1.84975
358,2632,-1,358,2624.5984,-1.84905
359,2622.73115,-1.84765,359,2622.75635,-1.84835
359.9965903,2620.8898,0,360,2620.915,-1.84765
360,2620.8898,-1.84695,361,2619.07435,-1.84695
360.996589,2619.04915,0,362,2617.2344,-1.84625
361,2619.04915,-1.84625,363,2615.39515,-1.84555
361.9965877,2617.2092,0,364,2613.5566,-1.84485
362,2617.2092,-1.84555,365,2611.71875,-1.84415
362.9965864,2615.36995,0,366,2609.8816,-1.84345
363,2615.36995,-1.84485,367,2608.04515,-1.84275
363.9965851,2613.5314,0,368,2606.2094,-1.84205
364,2613.5314,-1.84415,369,2604.37435,-1.84135
364.9965838,2611.69355,0,370,2602.54,-1.84065
365,2611.69355,-1.84345,371,2600.70635,-1.83995
365.9965825,2609.8564,0,372,2598.8734,-1.83925
366,2609.8564,-1.84275,373,2597.04115,-1.83855
366.9965812,2608.01995,0,374,2595.2096,-1.83785
367,2608.01995,-1.84205,375,2593.37875,-1.83715
367.9965799,2606.1842,0,376,2591.5486,-1.83645
368,2606.1842,-1.84135,377,2589.71915,-1.83575
368.9965786,2604.34915,0,378,2587.8904,-1.83505
369,2604.34915,-1.84065,379,2586.06235,-1.83435
369.9965773,2602.5148,0,380,2584.235,-1.83365
370,2602.5148,-1.83995,381,2582.40835,-1.83295
370.996576,2600.68115,0,382,2580.5824,-1.83225
371,2600.68115,-1.83925,383,2578.75715,-1.83155
371.9965747,2598.8482,0,384,2576.9326,-1.83085
372,2598.8482,-1.83855,385,2575.10875,-1.83015
372.9965734,2597.01595,0,386,2573.2856,-1.82945
373,2597.01595,-1.83785,387,2571.46315,-1.82875
373.9965721,2595.1844,0,388,2569.6414,-1.82805
374,2595.1844,-1.83715,389,2567.82035,-1.82735
374.9965708,2593.35355,0,390,2566,-1.82665
375,2593.35355,-1.83645,391,2564.18035,-1.82595
375.9965695,2591.5234,0,392,2562.3614,-1.82525
376,2591.5234,-1.83575,393,2560.54315,-1.82455
376.9965682,2589.69395,0,394,2558.7256,-1.82385
377,2589.69395,-1.83505,395,2556.90875,-1.82315
377.9965669,2587.8652,0,396,2555.0926,-1.82245
378,2587.8652,-1.83435,397,2553.27715,-1.82175
378.9965655,2586.03715,0,398,2551.4624,-1.82105
379,2586.03715,-1.83365,399,2549.64835,-1.82035
379.9965642,2584.2098,0,400,2547.835,-1.81965
380,2584.2098,-1.83295,401,2546.02235,-1.81895
380.9965629,2582.38315,0,402,2544.2104,-1.81825
381,2582.38315,-1.83225,403,2542.39915,-1.81755
381.9965616,2580.5572,0,404,2540.5886,-1.81685
382,2580.5572,-1.83155,405,2538.77875,-1.81615
382.9965603,2578.73195,0,406,2536.9696,-1.81545
383,2578.73195,-1.83085,407,2535.16115,-1.81475
383.996559,2576.9074,0,408,2533.3534,-1.81405
384,2576.9074,-1.83015,409,2531.54635,-1.81335
384.9965577,2575.08355,0,410,2529.74,-1.81265
385,2575.08355,-1.82945,411,2527.93435,-1.81195
385.9965563,2573.2604,0,412,2526.1294,-1.81125
386,2573.2604,-1.82875,413,2524.32515,-1.81055
386.996555,2571.43795,0,414,2522.5216,-1.80985
387,2571.43795,-1.82805,415,2520.71875,-1.80915
387.9965537,2569.6162,0,416,2518.9166,-1.80845
388,2569.6162,-1.82735,417,2517.11515,-1.80775
388.9965524,2567.79515,0,418,2515.3144,-1.80705
389,2567.79515,-1.82665,419,2513.51435,-1.80635
389.9965511,2565.9748,0,420,2511.715,-1.80565
390,2565.9748,-1.82595,421,2509.91635,-1.80495
390.9965497,2564.15515,0,422,2508.1184,-1.80425
391,2564.15515,-1.82525,423,2506.32115,-1.80355
391.9965484,2562.3362,0,424,2504.5246,-1.80285
392,2562.3362,-1.82455,425,2502.72875,-1.80215
392.9965471,2560.51795,0,426,2500.9336,-1.80145
393,2560.51795,-1.82385,427,2499.13915,-1.80075
393.9965458,2558.7004,0,428,2497.3454,-1.80005
394,2558.7004,-1.82315,429,2495.55235,-1.79935
394.9965444,2556.88355,0,430,2493.76,-1.79865
395,2556.88355,-1.82245,431,2491.96835,-1.79795
395.9965431,2555.0674,0,432,2490.1774,-1.79725
396,2555.0674,-1.82175,433,2488.38715,-1.79655
396.9965418,2553.25195,0,434,2486.5976,-1.79585
397,2553.25195,-1.82105,435,2484.80875,-1.79515
397.9965405,2551.4372,0,436,2483.0206,-1.79445
398,2551.4372,-1.82035,437,2481.23315,-1.79375
398.9965391,2549.62315,0,438,2479.4464,-1.79305
399,2549.62315,-1.81965,439,2477.66035,-1.79235
399.9965378,2547.8098,0,440,2475.875,-1.79165
400,2547.8098,-1.81895,441,2474.09035,-1.79095
400.9965365,2545.99715,0,442,2472.3064,-1.79025
401,2545.99715,-1.81825,443,2470.52315,-1.78955
401.9965351,2544.1852,0,444,2468.7406,-1.78885
402,2544.1852,-1.81755,445,2466.95875,-1.78815
402.9965338,2542.37395,0,446,2465.1776,-1.78745
403,2542.37395,-1.81685,447,2463.39715,-1.78675
403.9965325,2540.5634,0,448,2461.6174,-1.78605
404,2540.5634,-1.81615,449,2459.83835,-1.78535
404.9965311,2538.75355,0,450,2458.06,-1.78465
405,2538.75355,-1.81545,451,2456.28235,-1.78395
405.9965298,2536.9444,0,452,2454.5054,-1.78325
406,2536.9444,-1.81475,453,2452.72915,-1.78255
406.9965284,2535.13595,0,454,2450.9536,-1.78185
407,2535.13595,-1.81405,455,2449.17875,-1.78115
407.9965271,2533.3282,0,456,2447.4046,-1.78045
408,2533.3282,-1.81335,457,2445.63115,-1.77975
408.9965258,2531.52115,0,458,2443.8584,-1.77905
409,2531.52115,-1.81265,459,2442.08635,-1.77835
409.9965244,2529.7148,0,460,2440.315,-1.77765
410,2529.7148,-1.81195,461,2438.54435,-1.77695
410.9965231,2527.90915,0,462,2436.7744,-1.77625
411,2527.90915,-1.81125,463,2435.00515,-1.77555
411.9965217,2526.1042,0,464,2433.2366,-1.77485
412,2526.1042,-1.81055,465,2431.46875,-1.77415
412.9965204,2524.29995,0,466,2429.7016,-1.77345
413,2524.29995,-1.80985,467,2427.93515,-1.77275
413.996519,2522.4964,0,468,2426.1694,-1.77205
414,2522.4964,-1.80915,469,2424.40435,-1.77135
414.9965177,2520.69355,0,470,2422.64,-1.77065
415,2520.69355,-1.80845,471,2420.87635,-1.76995
415.9965164,2518.8914,0,472,2419.1134,-1.76925
416,2518.8914,-1.80775,473,2417.35115,-1.76855
416.996515,2517.08995,0,474,2415.5896,-1.76785
417,2517.08995,-1.80705,475,2413.82875,-1.76715
417.9965137,2515.2892,0,476,2412.0686,-1.76645
418,2515.2892,-1.80635,477,2410.30915,-1.76575
418.9965123,2513.48915,0,478,2408.5504,-1.76505
