s_t,s,s_d
438.0,8552.0,-2.5684500000024855
439.0,8551.0,-2.568149999997331
440.0,8550.0,-2.567850000001272
441.0,8549.0,-2.5675499999997555
442.0,8548.0,-2.567250000000058
443.0,8547.0,-2.566950000000361
444.0,8546.0,-2.5666499999988446
445.0,8545.0,-2.5663500000009662
446.0,8544.0,-2.566050000001269
447.0,8543.0,-2.5657499999979336
448.0,8542.0,-2.5654500000000553
449.0,8541.0,-2.565150000002177
450.0,8540.0,-2.5648499999988417
451.0,8539.0,-2.5645500000009633
452.0,8538.0,-2.564249999997628
453.0,8537.0,-2.5639500000015687
454.0,8536.0,-2.5636500000000524
455.0,8535.0,-2.563349999998536
456.0,8534.0,-2.5630500000006577
457.0,8533.0,-2.5627499999991414
458.0,8532.0,-2.562450000001263
459.0,8531.0,-2.562149999999747
460.0,8530.0,-2.5618500000000495
461.0,8529.0,-2.561550000000352
462.0,8528.0,-2.561249999998836
463.0,8527.0,-2.5609500000009575
464.0,8526.0,-2.56065000000126
465.0,8525.0,-2.560349999997925
466.0,8524.0,-2.5600500000000466
467.0,8523.0,-2.5597500000021682
468.0,8522.0,-2.559449999998833
469.0,8521.0,-2.5591500000009546
470.0,8520.0,-2.5588499999976193
471.0,8519.0,-2.55855000000156
472.0,8518.0,-2.5582500000000437
473.0,8517.0,-2.5579499999985273
474.0,8516.0,-2.557650000002468
475.0,8515.0,-2.5573499999973137
476.0,8514.0,-2.5570500000012544
477.0,8513.0,-2.556749999999738
478.0,8512.0,-2.5564500000000407
479.0,8511.0,-2.5561500000003434
480.0,8510.0,-2.555849999998827
481.0,8509.0,-2.555550000000949
482.0,8508.0,-2.5552500000012515
483.0,8507.0,-2.554949999997916
484.0,8506.0,-2.554650000000038
485.0,8505.0,-2.5543500000021595
486.0,8504.0,-2.554049999998824
487.0,8503.0,-2.553749999999127
488.0,8502.0,-2.5534500000012486
489.0,8501.0,-2.5531499999997322
490.0,8500.0,-2.552850000000035
491.0,8499.0,-2.5525499999985186
492.0,8498.0,-2.5522500000024593
493.0,8497.0,-2.551949999999124
494.0,8496.0,-2.5516499999994267
495.0,8495.0,-2.5513500000015483
496.0,8494.0,-2.551050000000032
497.0,8493.0,-2.5507499999985157
498.0,8492.0,-2.5504500000006374
499.0,8491.0,-2.55015000000094
500.0,8490.0,-2.5498499999976048
501.0,8489.0,-2.5495499999997264
502.0,8488.0,-2.549250000000029
503.0,8487.0,-2.548950000000332
504.0,8486.0,-2.5486500000006345
505.0,8485.0,-2.548349999999118
506.0,8484.0,-2.54805000000124
507.0,8483.0,-2.5477499999997235
508.0,8482.0,-2.547450000000026
509.0,8481.0,-2.547150000000329
510.0,8480.0,-2.5468499999988126
511.0,8479.0,-2.5465500000009342
512.0,8478.0,-2.546250000001237
513.0,8477.0,-2.5459499999979016
514.0,8476.0,-2.5456500000000233
515.0,8475.0,-2.545350000002145
516.0,8474.0,-2.5450499999988097
517.0,8473.0,-2.5447499999991123
518.0,8472.0,-2.544450000001234
519.0,8471.0,-2.5441499999997177
520.0,8470.0,-2.5438500000000204
521.0,8469.0,-2.543550000000323
522.0,8468.0,-2.5432499999988067
523.0,8467.0,-2.5429500000009284
524.0,8466.0,-2.542650000001231
525.0,8465.0,-2.542349999999715
526.0,8464.0,-2.5420500000000175
527.0,8463.0,-2.541749999998501
528.0,8462.0,-2.541450000000623
529.0,8461.0,-2.5411500000009255
530.0,8460.0,-2.54084999999759
531.0,8459.0,-2.540550000001531
532.0,8458.0,-2.5402500000000146
533.0,8457.0,-2.5399499999984982
534.0,8456.0,-2.539650000002439
535.0,8455.0,-2.5393499999991036
536.0,8454.0,-2.5390499999994063
537.0,8453.0,-2.538750000001528
538.0,8452.0,-2.5384500000000116
539.0,8451.0,-2.5381499999984953
540.0,8450.0,-2.537850000000617
541.0,8449.0,-2.5375500000009197
542.0,8448.0,-2.5372499999975844
543.0,8447.0,-2.536950000001525
544.0,8446.0,-2.5366500000000087
